0,"{'moves': 17, 'orientation': -19, 'bitmaps': 104}",3
1,"{'moves': 0, 'orientation': -22, 'bitmaps': 122}",9
2,"{'moves': 8, 'orientation': 0, 'bitmaps': 141}",6
3,"{'moves': 0, 'orientation': -1, 'bitmaps': 95}",9
4,"{'moves': 21, 'orientation': 0, 'bitmaps': 157}",6
5,"{'moves': 0, 'orientation': 0, 'bitmaps': 112}",9
6,"{'moves': 5, 'orientation': 0, 'bitmaps': 115}",6
7,"{'moves': 17, 'orientation': 0, 'bitmaps': 149}",3
8,"{'moves': 12, 'orientation': 0, 'bitmaps': 125}",3
9,"{'moves': 13, 'orientation': 0, 'bitmaps': 59}",3
10,"{'moves': 25, 'orientation': 0, 'bitmaps': 50}",9
11,"{'moves': 0, 'orientation': 37, 'bitmaps': 88}",3
12,"{'moves': 0, 'orientation': -26, 'bitmaps': 114}",6
13,"{'moves': 8, 'orientation': 0, 'bitmaps': 122}",0
14,"{'moves': 22, 'orientation': 0, 'bitmaps': 61}",3
