0,IntegratedGradients,"I've taken another look at this film and still consider it pretty good. Chloe is one of the few hardcore stars who really can act. She appears occasionally in soft core such as ""Body of Love"" and ""Lady Chatterly's Stories"" on Showtime. I thought Nicole Hilbig did OK too with her nice body and charming accent. Too bad she's not in more films.","{'poscount': 6, 'negcount': 1, 'verbcount': 9}",0
0,Lime,"I've taken another look at this film and still consider it pretty good. Chloe is one of the few hardcore stars who really can act. She appears occasionally in soft core such as ""Body of Love"" and ""Lady Chatterly's Stories"" on Showtime. I thought Nicole Hilbig did OK too with her nice body and charming accent. Too bad she's not in more films.","{'poscount': 6, 'negcount': 1, 'verbcount': 9}",0
1,IntegratedGradients,"Indeed, Cynthia Watros is in this movie as Elizabeth talking to Desmond. Though I'm just wondering how she ended up as a 'rehab patient'(?) where Hurley is also in there trying to reduce his weight (as seen from the previous episodes).. The ending is not so understandable..<br /><br />Anyway, this last episode is really suspended.<br /><br />Just can't wait further for season 3. <br /><br />Just can't wait further for season 3.","{'poscount': 2, 'negcount': 0, 'verbcount': 16}",0
1,Lime,"Indeed, Cynthia Watros is in this movie as Elizabeth talking to Desmond. Though I'm just wondering how she ended up as a 'rehab patient'(?) where Hurley is also in there trying to reduce his weight (as seen from the previous episodes).. The ending is not so understandable..<br /><br />Anyway, this last episode is really suspended.<br /><br />Just can't wait further for season 3. <br /><br />Just can't wait further for season 3.","{'poscount': 2, 'negcount': 0, 'verbcount': 16}",0
2,IntegratedGradients,Very lovely love story between Brenda Blethyn and Alfred Molina. The whole story is very bizarre and funny. An undertaker (A. Molina) loves a married woman (B.Blethyn). They try to fake her death to escape her husband and the village. A scenario of strange situations starts. As good as SAVING GRACE and LONG LIVE NED DEVINE.,"{'poscount': 5, 'negcount': 5, 'verbcount': 7}",0
2,Lime,Very lovely love story between Brenda Blethyn and Alfred Molina. The whole story is very bizarre and funny. An undertaker (A. Molina) loves a married woman (B.Blethyn). They try to fake her death to escape her husband and the village. A scenario of strange situations starts. As good as SAVING GRACE and LONG LIVE NED DEVINE.,"{'poscount': 5, 'negcount': 5, 'verbcount': 7}",0
3,IntegratedGradients,"I am sick of series with young and clueless people, talking about their ""problems"" all the time, self centered, boring and absolutely annoying (Popular; Dawson's Creek; Beverly Hills; etc).. I just love it!! I hope ""Hack"" will go on for a long time, because it is a great television series for grown up people, for a change.  I just love it!! I hope ""Hack"" will go on for a long time, because it is a great television series for grown up people, for a change.","{'poscount': 5, 'negcount': 7, 'verbcount': 16}",0
3,Lime,"I am sick of series with young and clueless people, talking about their ""problems"" all the time, self centered, boring and absolutely annoying (Popular; Dawson's Creek; Beverly Hills; etc).. I just love it!! I hope ""Hack"" will go on for a long time, because it is a great television series for grown up people, for a change.  I just love it!! I hope ""Hack"" will go on for a long time, because it is a great television series for grown up people, for a change.","{'poscount': 5, 'negcount': 7, 'verbcount': 16}",0
4,IntegratedGradients,"Big Fat Liar is the best movie ever! It is funny, and cool. Jason Shepherd (Frankie Muniz) proves that he was not lying and goes to Los Angeles to Get his paper back from Marty Wolf( Paul Giamatti). Along with friend Kaylee(Amanda Bynes), mess up his life since Marty won't call Jasons' dad and say he wrote the paper! Yet it all turns out good and is a good movie to watch!","{'poscount': 4, 'negcount': 5, 'verbcount': 13}",0
4,Lime,"Big Fat Liar is the best movie ever! It is funny, and cool. Jason Shepherd (Frankie Muniz) proves that he was not lying and goes to Los Angeles to Get his paper back from Marty Wolf( Paul Giamatti). Along with friend Kaylee(Amanda Bynes), mess up his life since Marty won't call Jasons' dad and say he wrote the paper! Yet it all turns out good and is a good movie to watch!","{'poscount': 4, 'negcount': 5, 'verbcount': 13}",0
5,IntegratedGradients,"Subject Matter: Cosmology, Quantum Physics and Stephen Hawking<br /><br />Soundtrack: Phillip Glass<br /><br />Have I died and gone to Heaven? <br /><br />You will be enraptured.","{'poscount': 2, 'negcount': 1, 'verbcount': 5}",0
5,Lime,"Subject Matter: Cosmology, Quantum Physics and Stephen Hawking<br /><br />Soundtrack: Phillip Glass<br /><br />Have I died and gone to Heaven? <br /><br />You will be enraptured.","{'poscount': 2, 'negcount': 1, 'verbcount': 5}",0
6,IntegratedGradients,"as with many of Wong's films, a lot of people find them to be boring and confusing. Well i like them and i like this film too. I went out and rented it on dvd and i watched it 3 times. It is a very subtle movie that provides an intoxicating experience. for those who did not enjoy it...... you just wasted 2 hours of your life.... too bad...muhahahahaha.","{'poscount': 4, 'negcount': 4, 'verbcount': 13}",0
6,Lime,"as with many of Wong's films, a lot of people find them to be boring and confusing. Well i like them and i like this film too. I went out and rented it on dvd and i watched it 3 times. It is a very subtle movie that provides an intoxicating experience. for those who did not enjoy it...... you just wasted 2 hours of your life.... too bad...muhahahahaha.","{'poscount': 4, 'negcount': 4, 'verbcount': 13}",0
7,IntegratedGradients,"I will admit that this movie was awful, cheesy, sexist, badly dubbed, and poorly edited, but I loved it anyway. I first saw this movie when I was 14, and it has stuck with me ever since. FYI, this is very close to hard-core porn as I remember. It certainly got my juices flowing. This flick gives a whole new meaning to swedish erotica. It is a humourous take on human sexuality as seen by hot randy female aliens who are, I think, just looking for some spermatozoa for their dying race.","{'poscount': 3, 'negcount': 7, 'verbcount': 20}",0
